Name,Id,AnA,CanBeSpawned,Tag1,Tag2,SizeH,Prerequisite,StoryOnCreate,StoryOnUse,StoryOnPickUp,ActionAutoTriggerFunction,AutoTriggered,ActionOnGroundName,ActionOnGroundFunction,CanPickUp,ActionInBagName,ActionInBagFunction,Speed,Durability,RecoverHP,Attack,DemageToPlayer
wasp,25,a ,,Insects,,10,,I hate wasps.,You get stung by the wasp. \n HP - 10.,,AttackPlayer,1,,,,,,20,,,,10
butterfly,48,a ,,Insects,,10,,Beautiful creature.,FlyAway,,FlyAway,1,,,,,,30,,,,
ambulance,2,an ,,Vehicles,,100,,wheeee-oooooo ,Entering hospital level.,,GoToHospitalLevel,1,,,,,,,,,,
police car,224,a ,,Vehicles,,100,,wheeee-oooooo ,You're a deserter and the police caught you. Next level: Jail break.,,GoToPrisonLevel,1,,,,,,,,,,
basket,17,a ,,Tools,,50,,A bigger backpack.,A bigger backpack.,,IncreaseInventoryCapacity,1,,,,,,,,,,
backpack,11,a ,,Tools,,30,,A bigger backpack.,I can carry more items now.,,IncreaseInventoryCapacity,1,,,,,,,,,,
bucket,44,a ,,Tools,,30,,A bigger backpack.,I can carry more items now.,,IncreaseInventoryCapacity,1,,,,,,,,,,
suitcase,290,a ,,Tools,,40,,A bigger backpack.,I can carry more items now.,,IncreaseInventoryCapacity,1,,,,,,,,,,
campfire,56,a ,,Environmental,,40,,Started a campfire.,I feel warm now.,,KeepWarm,1,,,,,,,,,,
fireplace,113,a ,,Furnitures,,60,,,You feel warm now,,KeepWarm,1,,,,,,,,,,
lighthouse,168,a ,,Illumination,,200,,Let there be light,LightUp,,LightUp,1,,,,,,,,,,
keyboard,160,a ,,Musical Instruments,,30,,,PlayMusic,,PlayMusic,1,,,,,,,,,,
violin,327,a ,,Musical Instruments,,30,,,PlayMusic,,PlayMusic,1,,,,,,,,,,
saxophone,246,a ,,Musical Instruments,,40,,,PlayMusic,,PlayMusic,1,,,,,,,,,,
trombone,320,a ,,Musical Instruments,,40,,,PlayMusic,,PlayMusic,1,,,,,,,,,,
trumpet,322,a ,,Musical Instruments,,40,,,PlayMusic,,PlayMusic,1,,,,,,,,,,
drums,97,a set of ,,Musical Instruments,,40,,,PlayMusic,,PlayMusic,1,,,,,,,,,,
clarinet,71,a ,,Musical Instruments,,50,,,PlayMusic,,PlayMusic,1,,,,,,,,,,
guitar,133,a ,,Musical Instruments,,50,,,PlayMusic,,PlayMusic,1,,,,,,,,,,
piano,216,a ,,Musical Instruments,,50,,,PlayMusic,,PlayMusic,1,,,,,,,,,,
cello,66,a ,,Musical Instruments,,60,,,PlayMusic,,PlayMusic,1,,,,,,,,,,
harp,137,a ,,Musical Instruments,,80,,,PlayMusic,,PlayMusic,1,,,,,,,,,,
snail,264,a ,,Insects,,10,,"Look, a snail.",Gross~~~~,They said there are people eating snails.,RunAway,1,,,1,Cook and Eat,CookAndEat,10,,-10,,
spider,272,a ,,Insects,,10,,"Look, a spider.",Gross~~~~,Why did I pick it up.,RunAway,1,,,1,Cook and Eat,CookAndEat,20,,-30,,
ant,5,an ,,Insects,,10,,"Look, an aunty ant.",Gross~~~~,"I don’t wanna eat it, I’m not kidding.",RunAway,1,,,1,Cook and Eat,CookAndEat,10,,1,,
mouse,188,a ,,Terrestrial Animals,,10,,A mouse appears.,It runs away.,,RunAway,1,,,,,,30,,,,
hedgehog,140,a ,,Terrestrial Animals,,20,,A hedgehog appears.,It runs away.,,RunAway,1,,,,,,10,,,,
squirrel,277,a ,,Terrestrial Animals,,20,,A squirrel appears.,It runs away.,,RunAway,1,,,,,,30,,,,
duck,98,a ,,Terrestrial Animals,,30,,Quak!,It runs away.,,RunAway,1,,,,,,20,,,,
rabbit,232,a ,,Terrestrial Animals,,30,,A rabbit!,It runs away.,,RunAway,1,,,,,,30,,,,
raccoon,233,a ,,Terrestrial Animals,,30,,"Uh, a trash panda.",It runs away.,,RunAway,1,,,,,,30,,,,
crab,81,a ,,Amphibians,Food Materials,10,,A crab! Catch it! Looks delicious!,Why do we eat each other? We are all cute animals. However you’re delicious.,"Nice, but it’s raw, I need to cook it.",RunAway,1,,,1,Cook and Eat,CookAndEat,10,,20,,
frog,124,a ,,Amphibians,Food Materials,10,,A frog! Catch it! Looks delicious!,Why do we eat each other? We are all cute animals. However you’re delicious.,"Nice, but it’s raw, I need to cook it.",RunAway,1,,,1,Cook and Eat,CookAndEat,20,,10,,
sea turtle,251,a ,,Amphibians,,30,,"Hi, Mr. sea turtle. \n (You said hi to him but he didn’t give a damn.)",RunAway,,RunAway,1,,,,,,10,,,,
penguin,215,a ,,Amphibians,,60,,"Penguin: It’s hot here, I hate this place.",RunAway,,RunAway,1,,,,,,20,,,,
nail,193,a ,,Tools,,10,,,Throw,I’ve no idea where to use this.,StepOn,,,,1,Throw,Throw,,5,,5,3
fish,115,a ,,Marine Animals,,20,1,,CookAndEat,,SwimAway,,,,1,Cook and Eat,CookAndEat,,,30,,
octopus,198,an ,,Marine Animals,,20,1,,SwimAway,,SwimAway,,,,1,,,,,,,
dolphin,91,a ,,Marine Animals,,100,1,,SwimAway,,SwimAway,,,,,,,,,,,
shark,253,a ,,Marine Animals,,100,1,,SwimAway,,SwimAway,,,,,,,,,,,
whale,331,a ,,Marine Animals,,100,1,,SwimAway,,SwimAway,,,,,,,,,,,
fan,108,a ,,Tools,,30,,,“Ah~~~~~~” \n (The sound when you say Ah to a fan),,,,Use,Use,,,,,,,,
calculator,51,a ,,Tools,,10,,,1146217 + 231236 = 1377453;,I don’t see the point of this.,,,,,1,Use,TryUseButNotWorking,,5,,,
barn,14,a ,,Buildings,,200,,"You get a shelter, do you wanna sleep here for today?","Alright, let’s call it a day.",,,,Sleep,Sleep,,,,,,,,
church,69,a ,,Buildings,,200,,"No priest in this church, it's only a shelter. Do you wanna sleep here for today?","Alright, let’s call it a day.",,,,Sleep,Sleep,,,,,,,,
hospital,147,a ,,Buildings,,200,,"Nobody works in this hospital, it's only a shelter. Do you wanna sleep here for today?","Alright, let’s call it a day.",,,,Sleep,Sleep,,,,,,,,
house,152,a ,,Buildings,,200,,"You get a shelter, do you wanna sleep here for today?","Alright, let’s call it a day.",,,,Sleep,Sleep,,,,,,,,
windmill,333,a ,,Buildings,,200,,"Nobody works in this windmill, it's only a shelter. Do you wanna sleep here for today?","Alright, let’s call it a day.",,,,Sleep,Sleep,,,,,,,,
tennis racquet,302,a ,,Tools,,40,,,Attack,Cool weapon.,,,,,1,Swing,Swing,,5,,30,
baseball bat,16,a ,,Tools,,50,,,Attack,Cool weapon.,,,,,1,Swing,Swing,,5,,50,
chair,67,a ,,Tools,,50,,"You get a chair, you can sit on it if you want, but I tell you, it's actually a decent weapon.",Attack,"I tell you, it's actually a decent weapon.",,,,,1,Swing,Swing,,5,,100,
rake,237,a ,,Tools,,50,,,Attack,Cool weapon.,,,,,1,Swing,Swing,,5,,20,
bat,19,a ,,Tools,,60,,,Attack,Cool weapon.,,,,,1,Swing,Swing,,5,,30,
broom,43,a ,,Tools,,60,,,Attack,Cool weapon.,,,,,1,Swing,Swing,,5,,20,
hockey stick,145,a ,,Tools,,60,,,Attack,Cool weapon.,,,,,1,Swing,Swing,,5,,40,
sword,295,a ,,Tools,,60,,,Attack,Cool weapon.,,,,,1,Swing,Swing,,5,,60,
golf club,130,a ,,Tools,,60,,,Attack,Cool weapon.,,,,,1,Swing,Swing,,5,,20,
boomerang,35,a ,,Tools,,30,,,Attack,Cool weapon.,,,,,1,Throw,Throw,,5,,40,
umbrella,323,an ,,Tools,,40,,,Better.,"If it's raining, this can save your day.",,,,,1,Use,UseUmbrella,,1,,,
cannon,58,a ,,Tools,,80,,,Boom!,,,,Fire,Fire,,,,,,,,
swing set,294,a ,,Environmental,,200,,A swing set in the middle of nowhere.,"Can’t use it, because the developer is lazy.",,,,Play,Play,,,,,,,,
waterslide,330,a ,,Environmental,,200,,A waterslide in the middle of nowhere.,"Can’t use it, because the developer is lazy.",,,,,,,,,,,,,
broccoli,42,a ,,Food Materials,,10,,,Yummy~,"It’s raw, I need to cook it before eating.",,,,,1,Cook and Eat,CookAndEat,,,30,,
carrot,61,a ,,Food Materials,,10,,,Yummy~,"It’s raw, I need to cook it before eating.",,,,,1,Cook and Eat,CookAndEat,,,30,,
lobster,173,a ,,Food Materials,,10,,,Yummy~,"It’s raw, I need to cook it before eating.",,,,,1,Cook and Eat,CookAndEat,,,100,,
mushroom,192,a ,,Food Materials,,10,,,Yummy~,"It’s raw, I need to cook it before eating.",,,,,1,Cook and Eat,CookAndEat,,,30,,
potato,229,a ,,Food Materials,,10,,,Yummy~,"It’s raw, I need to cook it before eating.",,,,,1,Cook and Eat,CookAndEat,,,30,,
string bean,288,a ,,Food Materials,,10,,,Yummy~,"It’s raw, I need to cook it before eating.",,,,,1,Cook and Eat,CookAndEat,,,30,,
onion,199,an ,,Food Materials,,10,,,"I don’t like onions, but ok.","It’s raw, I need to cook it before eating.",,,,,1,Cook and Eat,CookAndEat,,,10,,
peas,213,some ,,Food Materials,,10,,,Yummy~,"It’s raw, I need to cook it before eating.",,,,,1,Cook and Eat,CookAndEat,,,20,,
sleeping bag,262,a ,,Furnitures,,30,,,Do you wanna sleep in this sleeping bag right now?,,,,Sleep,Sleep,,,,,,,,
tent,303,a ,,Furnitures,,150,,,Do you wanna sleep in this tent right now?,,,,Sleep,Sleep,,,,,,,,
bed,24,a ,,Furnitures,,50,,,Do you wanna sleep on this bed right now?,,,,Sleep,Sleep,,,,,,,,
couch,79,a ,,Furnitures,,50,,,Do you wanna sleep on this couch right now?,,,,Sleep,Sleep,,,,,,,,
flip flops,118,a pair of ,,Clothes,,10,,"Can’t ware it now, may be in the future.","Eat my short! I know this is not a short, but, eat my short!","I said I can’t ware it, but I can throw it to enemy.",,,,,1,Throw,Throw,,2,,5,
belt,26,a ,,Clothes,,10,,"Can’t ware it now, may be in the future.","Eat my short! I know this is not a short, but, eat my short!","I said I can’t ware it, but I can throw it to enemy.",,,,,1,Throw,Throw,,1,,5,
bowtie,37,a ,,Clothes,,10,,"Can’t ware it now, may be in the future.","Eat my short! I know this is not a short, but, eat my short!","I said I can’t ware it, but I can throw it to enemy.",,,,,1,Throw,Throw,,1,,5,
hat,138,a ,,Clothes,,10,,"Can’t ware it now, may be in the future.","Eat my short! I know this is not a short, but, eat my short!","I said I can’t ware it, but I can throw it to enemy.",,,,,1,Throw,Throw,,1,,5,
helmet,142,a ,,Clothes,,10,,"Can’t ware it now, may be in the future.","Eat my short! I know this is not a short, but, eat my short!","I said I can’t ware it, but I can throw it to enemy.",,,,,1,Throw,Throw,,1,,20,
shoe,255,a ,,Clothes,,10,,"Can’t ware it now, may be in the future.","Eat my short! I know this is not a short, but, eat my short!","I said I can’t ware it, but I can throw it to enemy.",,,,,1,Throw,Throw,,2,,5,
sock,270,a ,,Clothes,,20,,"Can’t ware it now, may be in the future.","Eat my short! I know this is not a short, but, eat my short!","I said I can’t ware it, but I can throw it to enemy.",,,,,1,Throw,Throw,,2,,80,
sweater,293,a ,,Clothes,,30,,"Can’t ware it now, may be in the future.","Eat my short! I know this is not a short, but, eat my short!","I said I can’t ware it, but I can throw it to enemy.",,,,,1,Throw,Throw,,1,,5,
t-shirt,296,a ,,Clothes,,30,,"Can’t ware it now, may be in the future.","Eat my short! I know this is not a short, but, eat my short!","I said I can’t ware it, but I can throw it to enemy.",,,,,1,Throw,Throw,,1,,5,
jacket,156,a ,,Clothes,,40,,"Can’t ware it now, may be in the future.","Eat my short! I know this is not a short, but, eat my short!","I said I can’t ware it, but I can throw it to enemy.",,,,,1,Throw,Throw,,1,,5,
pants,206,a ,,Clothes,,40,,"Can’t ware it now, may be in the future.","Eat my short! I know this is not a short, but, eat my short!","I said I can’t ware it, but I can throw it to enemy.",,,,,1,Throw,Throw,,1,,5,
shorts,256,a ,,Clothes,,10,,"Can’t ware it now, may be in the future.","Eat my short! Yeah, eat my short!","I said I can’t ware it, but I can throw it to enemy.",,,,,1,Throw,Throw,,1,,5,
underwear,324,an ,,Clothes,,10,,"Can’t ware it now, may be in the future.","Eat my short! Yeah, eat my short!","I said I can’t ware it, but I can throw it to enemy.",,,,,1,Throw,Throw,,1,,100,
skull,260,a ,,Artifacts,,20,,"A skull? Creepy, maybe I can sacrifice it to the devil.","Give the skull to satan, max HP gain 100%.","I don’t know what to do with it, perhaps throw it to enemy?",,,,,1,Sacrifice,Sacrifice,,1,,,
radio,234,a ,,Electrical,,20,,Class Default,Good news! You’re wanted by the home guards!,,,,Use,Use,,,,,3,,,
cell phone,65,a ,,Tools,,10,,,"Ha, I was right.",I don’t think there is signal.,,,,,1,Use,TryUseButNotWorking,,5,,,
snowman,268,a ,,Environmental,,60,,"What’s up, snow dude.",Have five!,,,,Smile,Smile,,,,,,,,
door,93,a ,,Furnitures,,100,,,"Hey, another world! Neat!",,,,Get In,GoToAnotherWorld,,,,,,,,
ceiling fan,64,a ,,Electrical,,20,,This thing needs electricity.,"Hmm, but there’s no ceiling.",,,,Use,Use,,,,,3,,,
power outlet,230,a ,,Electrical,,10,,"There’s a switch on it, let me turn it on.",I can use electrical facilities now.,,,,Turn On,AllowElectricity,,,,,100,,,
eyeglasses,106,a pair of ,,Tools,,10,,,I can’t see things.,I’m not near-sighted.,,,,,1,Ware,BlurScreen,,,,,
light bulb,167,a ,,Tools,,10,,Do I need electric?,I come up with a brilliant idea — what if I …,"Amazing, this light bulb works without electricity. Oh I see, it's an idea bulb.",,,,,1,Use,ShowShowerThought,,5,,,
dresser,95,a ,,Furnitures,,40,,,I find an apple in it.,,,,Open,Open,,,,,,,,
cooler,78,a ,,Tools,,40,,I wonder what’s inside.,I get an apple.,,,,Get Drinks,GetDrinks,,,,,1,,,
washing machine,328,a ,,Electrical,,30,,This thing needs electricity.,"I hate laundry, no.",,,,Use,Use,,,,,3,,,
dishwasher,88,a ,,Electrical,,50,,This thing needs electricity.,"I hate to load dish wash, no. And I don’t have dishes to wash.",,,,Use,Use,,,,,3,,,
microphone,181,a ,,Tools,,10,,,I said I don't know how to use it.,I don't know how to use it.,,,,,1,Use,TryUseButNotWorking,,5,,,
mountain,187,a ,,Environmental,Filtered,20,,A beautiful picture of this mountain.,I wish my love can see this picture.,,,,Picture,Picture,,,,,,,,
beach,21,a ,,Environmental,Filtered,20,,A beautiful picture of this beach.,I wish my love can see this picture.,,,,,,,,,,,,,
ocean,196,an ,,Environmental,Filtered,20,,A beautiful picture of this ocean.,I wish my love can see this picture.,,,,,,,,,,,,,
bridge,41,a ,,Environmental,,200,,"A bridge, how can I use it?","If near water, you can cross the water by this bridge.",,,,Across River,AcrossRiver,,,,,,,,
parachute,208,a ,,Tools,,30,,,"If you are near a cliff, you can jump down safely.",I can jump down safely with this.,,,,,1,Safe Landing,AllowSafeLanding,,1,,,
see saw,252,a ,,Environmental,,50,,"Hmm, a see saw.",It needs two people to play.,,,,,,,,,,,,,
floor lamp,119,a ,,Electrical,,150,,This thing needs electricity.,It’s brighter now.,,,,Light Up,LightUp,,,,,,,,
streetlight,287,a ,,Electrical,,200,,This thing needs electricity.,It’s brighter now.,,,,Light Up,LightUp,,,,,,,,
alarm clock,1,an ,,Tools,,1,,,It’s broken.,I've no idea what should happen.,,,,,1,Throw,Throw,,5,,5,
candle,57,a ,,Illumination,,10,,"When it's night, I can illuminate my surrounding.",Let there be light,,,,,,1,Light Up,LightUpInBag,,5,,,
flashlight,117,a ,,Illumination,,10,,"When it's night, I can illuminate my surrounding.",Let there be light,,,,,,1,Light Up,LightUpInBag,,5,,,
lantern,163,a ,,Illumination,,30,,"When it's night, I can illuminate my surrounding.",Let there be light,,,,,,1,Light Up,LightUpInBag,,5,,,
toilet,310,a ,,Furnitures,,40,,Class Default,mosaic and Play flush sound,,,,Shit,Shit,,,,,,,,
telephone,300,a ,,Electrical,,20,,No carrier.,No carrier.,,,,Use,Use,,,,,3,,,
frying pan,125,a ,,Tools,,30,,,No enemy.,Cook or kill?,,,,,1,Swing,Swing,,5,,20,
computer,76,a ,,Electrical,,30,,No internet connection.,No internet connection.,,,,Use,Use,,,,,3,,,
laptop,164,a ,,Tools,,30,,Hi tech.,No internet connection.,,,,,,1,Use,TryUseButNotWorking,,5,,,
bathtub,20,a ,,Furnitures,,40,,Not a good time to take shower.,Not a good time to take shower.,,,,,,,,,,,,,
hot tub,150,a ,,Furnitures,,40,,,Not a good time to take shower.,,,,,,,,,,,,,
hourglass,151,an ,,Tools,,10,,,Nothing,Can’t use it yet cause the developer is lazy.,,,,,1,Use,TryUseButNotWorking,,5,,,
garden hose,127,a ,,Tools,,10,,,Nothing,Can’t use it yet cause the developer is lazy.,,,,,1,use,TryUseButNotWorking,,20,,,
drill,96,a ,,Tools,,10,,,Nothing,Can’t use it yet cause the developer is lazy.,,,,,1,Use,TryUseButNotWorking,,5,,30,
pliers,223,a pair of ,,Tools,,20,,,Nothing to cut now.,I can cut things with this.,,,,,1,Cut,Cut,,,,10,
saw,245,a ,,Tools,,30,,,Nothing to cut now.,Nice tool.,,,,,1,Use,Swing,,5,,50,
hammer,135,a ,,Tools,,30,,,Nothing to hammer now.,Nice tool.,,,,,1,Use,Swing,,5,,50,
toothpaste,313,a ,,Tools,,10,,,Oh no! I ate it! That tastes terrible!,Keeping clean is important in the wild.,,,,,1,Eat,Eat,,1,-10,,
birthday cake,31,a ,,Foods,,20,,,Playing birthday song,Play a birthday song~,,,,,1,Eat,Eat,,1,100,,
headphones,139,a pair of ,,Tools,,10,,You get a headphone.,Playing music,You get a headphone.,,,,,1,Play music,PlayMusic,,5,,,
book,34,a ,,Artifacts,,30,,Looks like a fiction book.,Read a story from a web api,If I have time I will read it.,,,,,1,Read,Read,,30,,,
bicycle,28,a ,,Vehicles,,90,,I can ride this.,Riding a bicycle! Speed increased 200%!,,,,Ride,Ride,,,,300,,,,
motorbike,186,a ,,Vehicles,,90,,I can ride this.,Riding a motorbike! Speed increased 400%!,,,,Ride,Ride,,,,500,,,,
rollerskates,242,a pair of ,,Vehicles,,20,,I can ride this.,Riding a rollerSkates! Speed increased 150%!,,,,Ride,Ride,,,,250,,,,
skateboard,259,a ,,Vehicles,,20,,I can ride this.,Riding a skateboard! Speed increased 150%!,,,,Ride,Ride,,,,250,,,,
staircase,278,a,,Tools,,100,,This can help me climbing over something.,"Right now I don’t need to climb, but I will need it someday.",,,,Climb Over,ClimbOver,,,,,,,,
ladder,162,a ,,Tools,,150,,This can help me climbing over something.,"Right now I don’t need to climb, but I will need it someday.",,,,Climb Over,ClimbOver,,,,,,,,
megaphone,179,a ,,Tools,,10,,,Roar!,I heard there is a Chinese kong fu called lion roar. I should try it.,,,,,1,Roar!,Roar,,5,,30,
stethoscope,282,a ,,Tools,,30,,,Show HP Number,I don't know how to use it.,,,,,1,use,TryUseButNotWorking,,,,,
table,297,a ,,Furnitures,,40,,Class Default,Sitting on a table? Not cool.,,,,Sit,Sit,,,,,,,,
scissors,248,a pair of ,,Tools,,10,,,Stab!,I know how to use scissors.,,,,,1,Use,Stab,,5,,30,
fork,123,a ,,Tools,,10,,,Stab!,I know how to use fork.,,,,,1,Use,Stab,,5,,20,
lipstick,172,a ,,Tools,,10,,,The color changed.,I think I can sketch with this.,,,,,1,Change Color,ChangeColor,,5,,,
marker,177,a ,,Tools,,10,,,The color changed.,I think I can sketch with this.,,,,,1,Change Color,ChangeColor,,5,,,
paint can,202,a ,,Tools,,10,,,The color changed.,I think I can sketch with this.,,,,,1,Change Color,ChangeColor,,5,,,
paintbrush,203,a ,,Tools,,10,,,The color changed.,I think I can sketch with this.,,,,,1,Change Color,ChangeColor,,5,,,
pencil,214,a ,,Tools,,10,,,The color changed.,I think I can sketch with this.,,,,,1,Change Color,ChangeColor,,5,,,
crayon,82,a ,,Tools,,10,,,The color changed.,I think I can sketch with this.,,,,,1,Change Color,ChangeColor,,5,,,
camera,54,a ,,Tools,,1,,,The game will take a screenshot.,"Snap, snap~",,,,,1,Use,TakeScreenShot,,5,,,
compass,75,a ,,Tools,,10,,,The map of this game will show.,"Great, I can check Map with this.",,,,,1,Check Direction,ShowMap,,100,,,
map,176,a ,,Tools,,1,,,The map of this game will show.,"Great, I can check Map with this.",,,,,1,Show Map,ShowMap,,5,,,
binoculars,29,a pair of ,,Tools,,20,,,The screen should zoom in.,,,,,,1,Use,ZoomIn,,5,,,
clock,72,a ,,Tools,,1,,,The time is {time},"Great, I can check time with this.",,,,,1,Check Time,ShowTime,,100,,,
wristwatch,336,a ,,Tools,,10,,,The time is {time},"Great, I can check time with this.",,,,,1,Check Time,ShowTime,,100,,,
television,301,a ,,Electrical,,40,,"Do you have electricity? Anyway, there's no signal.",There's no signal.,,,,Use,Use,,,,,3,,,
calendar,52,a ,,Tools,,1,,,Today is {data},"Great, I can check date with this.",,,,,1,Check Date,ShowDate,,5,,,
jail,157,a ,,Buildings,,200,,I think they want me in jail.,"Very nice, I send myself in jail. \n Next episode: Jailbreak.",,,,Go to prison level,GoToPrisonLevel,,,,,,,,
monkey,183,a ,,Terrestrial Animals,,40,,Class Default,What’s up dude.,,,,Say Hi,SayHi,,,,,,,,
sheep,254,a ,,Terrestrial Animals,,50,,Class Default,What’s up dude.,,,,Say Hi,SayHi,,,,,,,,
panda,205,a ,,Terrestrial Animals,,100,,Class Default,What’s up dude.,,,,Say Hi,SayHi,,,,,,,,
pig,219,a ,,Terrestrial Animals,,100,,Class Default,What’s up dude.,,,,Say Hi,SayHi,,,,,,,,
hot air balloon,148,a ,,Aviations,,300,,A hot air balloon! I happen to know how to pilot this.,You are flying so high! entering Level_3,,,,Pilot,Pilot,,,,,1,,,
key,159,a ,,Tools,,10,,"Whenever there’s a door, I can open it.",You can across the door now.,,,,,,1,Open Door,OpenDoor,,5,,,
bottle of wine,334,a ,,Beverages,,10,,"I’m not alcoholic, I just like the taste of wine.","You drink the wine and you feel dizzy, need to sleep.",I better not drink too much of this.,,,,,1,Get Drunk,GetDrunk,,1,10,,
glass of wine,335,a ,,Beverages,,20,,The wine looks beautiful in this glass.,"You drink the wine and you feel dizzy, need to sleep.",I better not drink too much of this.,,,,,1,Get Drunk,GetDrunk,,1,10,,
palm tree,204,a ,,Plants,,200,,,"You feel chill under the tree. Caution: if there is lighting, you will get hit.",,,,Sleep,Sleep,,,,,,,,
tree,318,a ,,Plants,,200,,,"You feel chill under the tree. Caution: if there is lighting, you will get hit.",,,,Sleep,Sleep,,,,,,,,
matches,178,some ,,Tools,,1,,These matches remind me a story.,"You see your grandma, your fami... and it gone.",,,,,,1,Light Up,LightUpInBag,,5,,,
